ID;NOME;QUANTIDADE;VALOR;CATEGORIA
277;CREME DE LEITE PIRACANJUBA 200G;6;3.49;MERCEARIA
278;OLEO SOJA SOYA 900ML;10;9.98;MERCEARIA
279;FLOCAO DE MILHO TIO EMILIO 400G;7;2.48;MERCEARIA
280;LEITE PO NINHO INTEGRAL LATA 380G;5;25.98;MERCEARIA
281;BALA MENTOS SABOR FANTA LARANJA 37,5G;7;2.99;DOCES
288;INDAIA AGUA MINERAL C/GAS  500ML;10;3.49;BEBIDA NÃO ALCÓLICA
1302;SALGADOS ASSADOS;1;10;ARTESANAIS
1304;SAINT PAUL-GELEIA DE MORANGO 230G;4;21.48;DOCES
1306;CR DENTAL CLOSEUP ANTICARIES 70G;4;4.48;HIGIENE E LIMPEZA
1307;AGUA SANITARIA YPE 1L;7;5.98;HIGIENE E LIMPEZA
1308;PAPEL HIGIENICO DELICATTO PREMIUM 16 ROLOS;4;26.98;HIGIENE E LIMPEZA
1309;DESODORANTE DOVE ROLON ORIGINAL 30ML;6;10.98;HIGIENE E LIMPEZA
1310;PAPEL TOALHA CARREFOUR FOLHA DUPLA 2UN;3;6.98;DESCARTÁVEIS E UTILIDADES
1311;VEJA DESENGORDURANTE 400ML;6;15.98;HIGIENE E LIMPEZA
1312;LIMPADOR VEJA  2L;4;17.98;HIGIENE E LIMPEZA
1313;TIRA MANCHAS VANISH 500ML;6;19.98;HIGIENE E LIMPEZA
1314;REPELENTE OFF! FAMILY 100ML;4;18.48;HIGIENE E LIMPEZA
1315;LIMPADOR MULTIUSO LIMPOL 500ML;4;5.48;HIGIENE E LIMPEZA
1316;MAIONESE HELLMANNS 500G;5;15.98;MERCEARIA
1317;CAFE DO SITIO VACUO 250G;5;19.48;MERCEARIA
1320;AMENDOIM CROCANTE NATURAL;4;5.48;SALGADOS E SNACKS
1322;PIZZA SABORES;27;8.49;ARTESANAIS
1323;KIT CAPILAR C2 LISO COM FORCA BIO INSTINTO;2;20.98;HIGIENE E LIMPEZA
1324;KIT CAPILAR MAMONA E BABOSA BIO INSTINTO;2;20.98;HIGIENE E LIMPEZA
1325;KIT CAPILAR DESCANSA CABELO;2;20.98;HIGIENE E LIMPEZA
1327;FERMENTO BIOLOGICO SECO INSTANTANEO PARA  MASSA DE  PÃO PIZZA 30G LEVE 3 PAGUE 2;10;2.49;MERCEARIA
1328;HASTES FLEX COTON LINE 75UN;11;3.38;HIGIENE E LIMPEZA
1329;FIO DENTAL HILLO VEGANO MENTHA 50M;7;11.98;HIGIENE E LIMPEZA
1330;ENXAGUANTE BUCAL ZERO ALCOOL ICE INFINITY COLGATE PLAX FRASCO 1 LITRO;5;25.98;HIGIENE E LIMPEZA
1331;TORRADA TRADICIONAL BAUDUCCO 142G;4;7.68;MERCEARIA
1332;CREME DE AVELA COM CACAU NUTELLA 350G;4;32.98;MERCEARIA
1333;MILHO DE PIPOCA PARA MICROONDAS NATURAL YOKI 100G;5;7.98;MERCEARIA
1334;FAROFA DE MANDIOCA TRADICIONAL YOKI PACOTE 400G;4;11.98;MERCEARIA
1335;GOMA DE TAPIOCA AKIO 320G;5;5.98;MERCEARIA
1338;NESCAFE CAFE SOLUVEL MATINAL 100G;5;25.98;MERCEARIA
1339;FERMENTO APTI TRADICIONAL 100G;5;4.98;MERCEARIA
1340;VINAGRE NEVAL COLORIDO  750ML;4;4.48;MERCEARIA
1341;AZEITONA TIO PACO VERDE 100G DOY PACK;6;9.98;MERCEARIA
1342;PAO VISCONTI BISNAGUINHA 240G;6;7.98;MERCEARIA
1343;MAIZENA AMIDO MILHO 200G;4;7.48;MERCEARIA
1344;PAO DE FORMA TRADICIONAL 400G;2;8.98;MERCEARIA
1345;CATCHUP 400G PREDILECTA;6;8.48;MERCEARIA
1346;MOSTARDA OLE 180GR;5;7.48;MERCEARIA
1347;CHOC KINDER BUENO WHITE 39G;8;10.98;DOCES
1348;BISCOITO WAFER RANCHEIRO BAUNILHA 78G;1;3.68;DOCES
1349;ABSORVENTE FEM INTIMUS GEL SECA C/16;4;14.98;HIGIENE E LIMPEZA
1350;SACO DE LIXO BULNEZ 15L;6;7.58;HIGIENE E LIMPEZA
1351;SACO DE LIXO BULNEZ 50L;6;9.98;HIGIENE E LIMPEZA
1352;SABÃO EM PO MINUANO AZUL  800G;3;14.98;HIGIENE E LIMPEZA
1353;ÁLCOOL AIDAR 46 1L;4;14.46;HIGIENE E LIMPEZA
1356;GELATINA UVA APTI 20G;4;2.18;MERCEARIA
1357;CHA DE BOLDO - 10 SACHES;2;4.98;MERCEARIA
1358;CHA DE CAMOMILA - 10 SACHES;2;4.98;MERCEARIA
1359;CHA DE HORTELA - 10 SACHES;1;4.98;MERCEARIA
1360;CHA DE CAPIM CIDREIRA - 10 SACHES;2;4.98;MERCEARIA
1361;SAL REFINADO FAVORITO 1KG;2;3.48;MERCEARIA
1362;SAL GROSSO FAVORITO 1KG;6;5.98;MERCEARIA
1363;MILHO PARA PIPOCA 500G;3;9.98;MERCEARIA
1364;FARINHA DE TRIGO ESPECIAL DE 1 KG;3;4.98;MERCEARIA
1365;FARINHA TRIGO MARRAKECH 1KG;2;4.98;MERCEARIA
1366;PAPEL ALUMINIO WYDA 30CM40M;6;6.48;DESCARTÁVEIS E UTILIDADES
1367;SARDINHA EM OLEO COMESTIVEL;6;8.98;MERCEARIA
1368;ATUM RALADO MOLHO DE TOMATE 88 140GR;6;11.98;MERCEARIA
1369;LEITE CONDENSADO MOCA  LATA 395G;3;14.98;MERCEARIA
1370;ACUCAR REFINADO 1KG;4;9.98;MERCEARIA
1371;FEIJAO PRETO COMBRASIL;5;10.68;MERCEARIA
1372;FEIJAO CARIOCA URBANO T1 1KG;3;13.48;MERCEARIA
1373;ARROZ URBANO PARBOILIZADO 1KG;4;7.48;MERCEARIA
1374;ARROZ BRANCO TIO URBANO 1KG;6;7.28;MERCEARIA
1375;BATATA PALHA TRADICIONAL 90G;3;12.98;MERCEARIA
1376;BATATA PALHA SULLPER TRADICIONAL 400G;5;24.96;MERCEARIA
1377;QUEIJO RALADO LEITBOM 50G;4;6.98;MERCEARIA
1378;ENERGÉTICO MONSTER 473ML;3;11.68;BEBIDA NÃO ALCÓLICA
1380;AMACIANTE DE ROUPAS CONCENTRADO DOWNY 500ML;9;17.98;HIGIENE E LIMPEZA
1381;ENERGY BALY SABORES 2L;4;0;BEBIDA NÃO ALCÓLICA
1382;PRATO DESCARTAVEL TERMOPOT 21CM RASO C/10;8;5.98;DESCARTÁVEIS E UTILIDADES
1383;PRATO DESCARTAVEL FUNDO TOTAL PLAST C10;6;3.98;DESCARTÁVEIS E UTILIDADES
1385;GUARANA ANTARCTICA PET 2L;2;11.48;BEBIDA NÃO ALCÓLICA
1387;VINHO CHILENO CYT SWEET WHITE-SUAVE BRANCO GARRAFA 750ML;3;42.36;BEBIDA ALCÓLICA
1388;VINHO CHILENO CYT RESERVADO CARMENERE GARRAFA 750ML;1;39.98;BEBIDA ALCÓLICA
1389;VINHO SANTA LORETO CABERENT SAUVIGNO 750ML;2;39.98;BEBIDA ALCÓLICA
1390;VODKA SMIRNOFF GARRAFA 998ML;2;46.98;BEBIDA ALCÓLICA
1391;WHISKY ESC J WALK RED LABEL GARRAFA 750ML;2;109.98;BEBIDA ALCÓLICA
1392;WHISKY BALLANTINES FINEST GARRAFA 750ML;2;79.98;BEBIDA ALCÓLICA
1393;ICE 51 LIMAO GARRAFA 275ML;1;6.18;BEBIDA ALCÓLICA
1395;CERVEJA LAGER HEINEKEN LATA 350ML;11;7.38;BEBIDA ALCÓLICA
1396;CERVEJA EISENBAHN TIPO PILSEN LATA 350ML;21;6.09;BEBIDA ALCÓLICA
1398;CERVEJA EISENBAHN 269ML;3;4.78;BEBIDA ALCÓLICA
1399;BOMBOM NESTLE ESPECIALIDADES 220G;2;21.39;DOCES
1400;GOMETS GOMA TUBO FRUTAS 32G;14;1.88;DOCES
1401;SABONETE DE AMENDOAS NUTRI SPA 80G;11;3.98;HIGIENE E LIMPEZA
1402;LENCOS UMEDECIDOS PAMPERS CHEIRINHO DE BEBE;8;16.98;HIGIENE E LIMPEZA
1403;FILTRO PAPEL NOBRE 100 PEQ C/30;7;5.98;DESCARTÁVEIS E UTILIDADES
1404;SUCRILHOS MIX 200G;4;10.98;MERCEARIA
1405;AZEITE ANDORINHA EXTRA VIRGEM 250 ML;6;23.98;MERCEARIA
1406;GUARANA ANTARCTICA DIET PET 2L;3;11.48;BEBIDA NÃO ALCÓLICA
1407;GUARANA ANTARCTICA LATA 350 ML;10;5.48;BEBIDA NÃO ALCÓLICA
1408;DUCOCO AGUA DE COCO 1L;2;12.98;BEBIDA NÃO ALCÓLICA
1409;FILE PEITO CANCAO SEM PELE E OSSO 1KG;7;19.98;CARNES
1410;COXINHA ASA LEVO PCT 1KG;8;15.98;CARNES
1411;MENINA LEITE DE COCO 200ML;6;5.98;MERCEARIA
1412;COCO RALADO ÚMIDO E ADOÇADO COPRA 100 GR;4;5.98;MERCEARIA
1413;BISCOITO CREAM CRACKER RANCHEIRO 300G;2;6.98;SALGADOS E SNACKS
1414;BISCOITO BAUDUCCO CHOCOLATE 335G;1;11.96;DOCES
1415;MACARRAO INSTANTANEO FRANGO CREMOSO  RENATA 85G;3;2.38;MERCEARIA
1416;CHAMPIGNON VALE FERTIL 100G FATIADO;4;9.48;MERCEARIA
1417;GOIABADA FLOW PACK 300G PREDILECTA;4;7.98;DOCES
1418;ISQUEIRO COLORIDO;23;6.98;DESCARTÁVEIS E UTILIDADES
1419;FILME PVC 30M;3;10.78;DESCARTÁVEIS E UTILIDADES
1421;CALDO MAGGI CARNE TABLETE 57G;6;4.38;MERCEARIA
1422;CALDO MAGGI LEGUMES 57 G;6;4.38;MERCEARIA
1423;CALDO MAGGI GALINHA TABLETE 57G;6;4.38;MERCEARIA
1424;ALHO PICADO CAMPEAO 200G;4;11.68;MERCEARIA
1425;CERVEJA EISENBAHN TIPO PILSEN GARRAFA DE VIDRO 355ML;2;6.98;BEBIDA ALCÓLICA
1427;PILHA ELGIN PALITO  AAA 04 UN;6;7.98;DESCARTÁVEIS E UTILIDADES
1428;PILHA ELGIN ZINCO AA 04 UN;7;10.98;DESCARTÁVEIS E UTILIDADES
1431;CAPA FILE RESFRIADO PLENA;1;31.9;CARNES
1432;CAPA FILE RESFRIADO PLENA;1;31.7;CARNES
1433;CAPA FILE RESFRIADO PLENA;1;31.7;CARNES
1434;CAPA FILE RESFRIADO PLENA;1;31.38;CARNES
1435;CAPA FILE RESFRIADO PLENA;1;29.45;CARNES
1440;PACOTE COM 2 SALGADOS ASSADOS;1;18;ARTESANAIS
1441;SALSICHA SUINO AURORA 500G HOT DOG;4;14.45;CARNES
1442;CARVAO 2,5KG BRASA;4;15.98;DESCARTÁVEIS E UTILIDADES
1443;PÃO DE ALHO TRADICIONAL PRADELA 400G;2;16;FRIOS E LATICINIOS
1445;CREME DE QUEIJO TRAD COPO 180 GR QUATA;6;10.68;FRIOS E LATICINIOS
1447;IOGURTE LIQ BATAVO CEREAL 170G;4;3.68;FRIOS E LATICINIOS
1450;QUALY LIGHT 250 G COM SAL;6;6.68;FRIOS E LATICINIOS
1451;COCA COLA GARRAFA 2L;2;12.88;BEBIDA NÃO ALCÓLICA
1452;SAL REFINADO GLOBO 1KG;5;4.28;MERCEARIA
1454;SUCO NUTRI MANGA 1L;3;6.98;BEBIDA NÃO ALCÓLICA
1456;LEITE INTEGRAL PIRACANJUBA 1L;6;7.98;BEBIDA NÃO ALCÓLICA
1458;CHOCOLATE CRUNCH 80G;1;10.98;DOCES
1460;DESODORANTE AERO NIVEA 150ML PROTECT ORIGINAL;7;16.98;HIGIENE E LIMPEZA
1461;DESODORANTE  NIVEA AER PROTEC CARE 15L;7;16.98;HIGIENE E LIMPEZA
1462;IOGURTE PENSE MARACUJA BATAVO 100G;5;3.58;FRIOS E LATICINIOS
1463;PAO DE ALHO PRADELLA CALABRESA 400G;3;16;FRIOS E LATICINIOS
1464;COCA COLA ZERO AÇUCAR  2L;3;12.88;BEBIDA NÃO ALCÓLICA
1465;CHOCOLATE SNICKERS ORIGINAL 40G;7;7.68;DOCES
1466;MONSTER ULTR FIESTA MANGO 473ML;4;11.68;BEBIDA NÃO ALCÓLICA
1467;ENERGETICO MONSTER ULTRA LATA DESCARTAVEL 473ML;7;11.68;BEBIDA NÃO ALCÓLICA
1468;ENER BALY CEREJA ZERO ACUCAR 2L;6;14.98;BEBIDA NÃO ALCÓLICA
1469;ENERG BALY CAIPIRINHA 2L;3;18;BEBIDA NÃO ALCÓLICA
1470;ENERGETICO BALY FRUTAS TROPICAIS 2L;5;18;BEBIDA NÃO ALCÓLICA
1472;RENATA DIVERTIX MACARRAO INSTANTANEO GALINHA SUAVE 85G;3;2.38;MERCEARIA
1474;SALG YOKITOS 45G(QUEIJO TUBINHO);4;4.49;SALGADOS E SNACKS
1475;SALG YOKITOS 45G(QUEIJO REDINHA);3;4.49;SALGADOS E SNACKS
1476;OREGANO CHEF 30G;2;5.68;MERCEARIA
1477;TEMPERO ANA MARIA CHEF 60G;2;5.68;MERCEARIA
1478;TEMPERO BAIANO CHEF 60G;2;5.68;MERCEARIA
1480;TEMPERO EDU GUEDES CHEF 50G;1;5.68;MERCEARIA
1481;PAPRICA DEFUMADA CHEF 60G;2;5.68;MERCEARIA
1483;CHIMICHURRI CHEF 45G;2;5.68;MERCEARIA
1484;CLOSE UP CREME DENTAL TRIPLE HORTELA  70G;4;4.48;HIGIENE E LIMPEZA
1485;MILHO DE PIPOCA PARA MICROONDAS DE MANTEIGA DE CINEMA YOKI 100G;5;7.98;MERCEARIA
1486;SABÃO  PÓ MINUANO ROXO 800G;11;14.98;HIGIENE E LIMPEZA
1487;BOLO BAUDUCCO DUPLO CHOCOLATE 200G;1;15.98;DOCES
1488;LIMP MULTIUSO LIMPOL 500 ML LAVANDA;4;5.48;HIGIENE E LIMPEZA
1489;COPO DESC COPO BOM 180ML;3;8.98;DESCARTÁVEIS E UTILIDADES
1490;AMACIANTE YPE INTENSO 2LT;4;12.98;HIGIENE E LIMPEZA
1491;AMACIANTE YPE ACONCHEGO 2LITROS;4;12.98;HIGIENE E LIMPEZA
1492;VINAGRE DE ALCOOL NEVAL 750 ML;4;4.48;MERCEARIA
1493;AÇAFRAO;1;5.68;MERCEARIA
1494;SAL PARRILLA;3;5.68;MERCEARIA
1495;SARDINHA ROBINSON CRUSOE MOLHO TOMATE 125 GR;5;8.98;MERCEARIA
1496;GELATINA APTI VIT 20G FRAMBOESA;4;2.18;MERCEARIA
1497;GELATINA MORANGO APTI 20G;4;2.18;MERCEARIA
1498;GELATINA MARACUJA APTI 20G;4;2.18;MERCEARIA
1500;BISC.AMANT.BAN.C/CANELA BAUDUCCO 354G;2;11.96;DOCES
1501;BISCOITO LEITE C/ GOTAS B 335G;3;15.98;DOCES
1503;BISCOITO WAFER SABOR CHOCOLATE 78G;3;3.68;DOCES
1505;TORRONI C/ WAFER TURRON Y MANI ARCO 25G;10;1.99;DOCES
1509;LASANHA BOLONHESA FORNO DE MINAS 600GR;3;16.48;FRIOS E LATICINIOS
1510;AGUARDENTE VELHO BARREIRO GARRAFA 910ML;4;22;BEBIDA ALCÓLICA
1511;AMSTEL PURO MALTE LATA 269ML AMSTEL PRIMÁRIA;5;4.49;BEBIDA ALCÓLICA
1512;TORCIDA 60G QUEIJO;1;3.69;SALGADOS E SNACKS
1513;TUBES TROLLS 80G;1;7.49;DOCES
1514;MINHOCAS CITRICA 100G;2;7.49;DOCES
1515;BEIJOS DE MORANGO 100G;2;7.49;DOCES
1516;BALA FINI BANANAS 100GR;1;7.49;DOCES
1518;CHOCOLATE GALAK 80 GR;1;10.98;DOCES
1520;CHOCOLATE ALPINO AO LEITE;1;10.98;DOCES
1521;CHOCOLATE MEIO AMARGO 80G;2;10.98;DOCES
1531;QUEIJO MUSSARELA TIROLEZ 150G FATIADO;1;8.49;FRIOS E LATICINIOS
1532;RENATA EXPRESS CREMOSO MACARRAO INSTANTANEO 4 QUEIJOS 88G;1;2.38;MERCEARIA
1533;RENATA EXPRESS MACARRAO INSTANTANEO CARNE 85G;1;2.38;MERCEARIA
1534;LASANHA FORNO DE MINAS QUATRO QJS 600G;3;16.48;FRIOS E LATICINIOS
1535;MOLHO TOMATE POMODORO 300G;3;3.16;MERCEARIA
1536;CHOCOLATE PRESTIGIO AO LEITE;1;10.98;DOCES
1537;AMORAS 100G;2;7.49;DOCES
1538;TUBES TWISTER 80G;3;7.49;DOCES
1539;DENTADURAS 100G;2;7.49;DOCES
1540;MARSHALVORADA 80G;1;7.49;DOCES
1541;OB TAMPON MEDIO;4;14.98;HIGIENE E LIMPEZA
1544;LEITE CONDENSADO PIRACANJUBA 395G;3;7.89;MERCEARIA
1558;FILTRO DE PAPEL MELITA 103;4;7.98;DESCARTÁVEIS E UTILIDADES
1574;AGUA DE COCO  PURO COCO 1L;2;12.98;BEBIDA NÃO ALCÓLICA
1581;HOT POCKET SADIA X FRANGO 145G;1;11.98;FRIOS E LATICINIOS
1582;HOT HIT PICANHA SEARA;1;11.98;FRIOS E LATICINIOS
1585;LAMPADA LED TKL 60 / 9W 6500K;3;5.99;MATERIAIS ELETRONICOS
1586;HOT HIT CHEDDAR SEARA;1;11.98;FRIOS E LATICINIOS
1587;ENERGY BALY MORANGO E PESSEGO 2L;4;18;BEBIDA NÃO ALCÓLICA
1591;BATATA PALHA TRADICIONAL 20X105G;2;12.98;MERCEARIA
1592;PIPOCA DOCE - BEBELA 90G;6;3.89;DOCES
1593;AGUA MARIZA SEM GAS 500 ML;9;3.49;BEBIDA NÃO ALCÓLICA
1647;VEJA PERFUMES PROM LAV 500ML;1;7.48;HIGIENE E LIMPEZA
1648;OMO DT LIQ LAVAGEM PERFEITA DP 900ML;3;26.98;HIGIENE E LIMPEZA
1649;PENNE PARISIENSE MENU G;3;0;FRIOS E LATICINIOS
